ltla_name,ltla_code,latitude,longitude,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Bexley,E09000004,51.45823,0.146227,08/12/2020,07/03/2021,1st dose,75-79,7435,7534,0.98685957
Brent,E09000005,51.56441,-0.27568,08/12/2020,07/03/2021,1st dose,75-79,6025,7339,0.820956534
Bromley,E09000006,51.37267,0.039246,08/12/2020,07/03/2021,1st dose,75-79,10767,10705,1.005791686
Camden,E09000007,51.54306,-0.16289,08/12/2020,07/03/2021,1st dose,75-79,4444,5890,0.754499151
Croydon,E09000008,51.36598,-0.07761,08/12/2020,07/03/2021,1st dose,75-79,8703,9457,0.920270699
Ealing,E09000009,51.52443,-0.31407,08/12/2020,07/03/2021,1st dose,75-79,7246,7907,0.916403187
Enfield,E09000010,51.64888,-0.08147,08/12/2020,07/03/2021,1st dose,75-79,7346,8490,0.865253239
Greenwich,E09000011,51.46393,0.050107,08/12/2020,07/03/2021,1st dose,75-79,5126,5356,0.957057506
Hackney,E09000012,51.55492,-0.06045,08/12/2020,07/03/2021,1st dose,75-79,3153,3981,0.792012057
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,07/03/2021,1st dose,75-79,3083,3731,0.826320021
Haringey,E09000014,51.58771,-0.10667,08/12/2020,07/03/2021,1st dose,75-79,4218,4858,0.868258543
Harrow,E09000015,51.59467,-0.33603,08/12/2020,07/03/2021,1st dose,75-79,6871,7131,0.963539476
Havering,E09000016,51.56519,0.235368,08/12/2020,07/03/2021,1st dose,75-79,8310,8453,0.983082929
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,07/03/2021,1st dose,75-79,7056,7522,0.938048391
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,07/03/2021,1st dose,75-79,5601,5929,0.944678698
Islington,E09000019,51.54548,-0.10992,08/12/2020,07/03/2021,1st dose,75-79,3268,3865,0.845536869
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,07/03/2021,1st dose,75-79,3500,4786,0.731299624
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,07/03/2021,1st dose,75-79,4347,4393,0.989528796
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,07/03/2021,1st dose,75-79,3943,4809,0.819920981
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,07/03/2021,1st dose,75-79,4394,5115,0.859042033
Merton,E09000024,51.41057,-0.18867,08/12/2020,07/03/2021,1st dose,75-79,4347,4690,0.926865672
Newham,E09000025,51.53147,0.027289,08/12/2020,07/03/2021,1st dose,75-79,3430,4733,0.724698922
Redbridge,E09000026,51.58589,0.070071,08/12/2020,07/03/2021,1st dose,75-79,6159,6814,0.903874376
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,07/03/2021,1st dose,75-79,5873,5656,1.038366337
Southwark,E09000028,51.46592,-0.07306,08/12/2020,07/03/2021,1st dose,75-79,3746,4777,0.784174168
Sutton,E09000029,51.35756,-0.17227,08/12/2020,07/03/2021,1st dose,75-79,5613,5720,0.981293706
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,07/03/2021,1st dose,75-79,2458,3465,0.709379509
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,07/03/2021,1st dose,75-79,4463,5223,0.854489757
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,07/03/2021,1st dose,75-79,5117,5700,0.897719298
Westminster,E09000033,51.5122,-0.15295,08/12/2020,07/03/2021,1st dose,75-79,4059,5656,0.717644979
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,07/03/2021,1st dose,80+,4535,5685,0.797713281
Barnet,E09000003,51.61108,-0.21821,08/12/2020,07/03/2021,1st dose,80+,14494,16910,0.857125961
Bexley,E09000004,51.45823,0.146227,08/12/2020,07/03/2021,1st dose,80+,11461,12831,0.89322734
Brent,E09000005,51.56441,-0.27568,08/12/2020,07/03/2021,1st dose,80+,8943,11307,0.790925975
Bromley,E09000006,51.37267,0.039246,08/12/2020,07/03/2021,1st dose,80+,16499,17418,0.947238489
Camden,E09000007,51.54306,-0.16289,08/12/2020,07/03/2021,1st dose,80+,5782,8858,0.652743283
