ltla_name,ltla_code,latitude,longitude,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Bromley,E09000006,51.37267,0.039246,08/12/2020,14/03/2021,1st dose,75-79,10804,10705,1.009248015
Camden,E09000007,51.54306,-0.16289,08/12/2020,14/03/2021,1st dose,75-79,4477,5890,0.760101868
Croydon,E09000008,51.36598,-0.07761,08/12/2020,14/03/2021,1st dose,75-79,8751,9457,0.925346304
Ealing,E09000009,51.52443,-0.31407,08/12/2020,14/03/2021,1st dose,75-79,7275,7907,0.920070823
Enfield,E09000010,51.64888,-0.08147,08/12/2020,14/03/2021,1st dose,75-79,7381,8490,0.869375736
Greenwich,E09000011,51.46393,0.050107,08/12/2020,14/03/2021,1st dose,75-79,5150,5356,0.961538462
Hackney,E09000012,51.55492,-0.06045,08/12/2020,14/03/2021,1st dose,75-79,3165,3981,0.795026375
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,14/03/2021,1st dose,75-79,3103,3731,0.831680515
Haringey,E09000014,51.58771,-0.10667,08/12/2020,14/03/2021,1st dose,75-79,4242,4858,0.873198847
Harrow,E09000015,51.59467,-0.33603,08/12/2020,14/03/2021,1st dose,75-79,6879,7131,0.964661338
Havering,E09000016,51.56519,0.235368,08/12/2020,14/03/2021,1st dose,75-79,8331,8453,0.985567254
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,14/03/2021,1st dose,75-79,7073,7522,0.940308429
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,14/03/2021,1st dose,75-79,5622,5929,0.948220611
Islington,E09000019,51.54548,-0.10992,08/12/2020,14/03/2021,1st dose,75-79,3296,3865,0.852781371
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,14/03/2021,1st dose,75-79,3522,4786,0.735896364
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,14/03/2021,1st dose,75-79,4363,4393,0.993170954
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,14/03/2021,1st dose,75-79,3972,4809,0.825951341
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,14/03/2021,1st dose,75-79,4419,5115,0.863929619
Merton,E09000024,51.41057,-0.18867,08/12/2020,14/03/2021,1st dose,75-79,4368,4690,0.931343284
Newham,E09000025,51.53147,0.027289,08/12/2020,14/03/2021,1st dose,75-79,3466,4733,0.732305092
Redbridge,E09000026,51.58589,0.070071,08/12/2020,14/03/2021,1st dose,75-79,6176,6814,0.90636924
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,14/03/2021,1st dose,75-79,5889,5656,1.041195191
Southwark,E09000028,51.46592,-0.07306,08/12/2020,14/03/2021,1st dose,75-79,3799,4777,0.795268997
Sutton,E09000029,51.35756,-0.17227,08/12/2020,14/03/2021,1st dose,75-79,5631,5720,0.984440559
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,14/03/2021,1st dose,75-79,2483,3465,0.716594517
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,14/03/2021,1st dose,75-79,4490,5223,0.8596592
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,14/03/2021,1st dose,75-79,5147,5700,0.902982456
Westminster,E09000033,51.5122,-0.15295,08/12/2020,14/03/2021,1st dose,75-79,4086,5656,0.72241867
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,14/03/2021,1st dose,80+,4548,5685,0.8
Barnet,E09000003,51.61108,-0.21821,08/12/2020,14/03/2021,1st dose,80+,14563,16910,0.861206387
Bexley,E09000004,51.45823,0.146227,08/12/2020,14/03/2021,1st dose,80+,11499,12831,0.896188917
Brent,E09000005,51.56441,-0.27568,08/12/2020,14/03/2021,1st dose,80+,8999,11307,0.795878659
Bromley,E09000006,51.37267,0.039246,08/12/2020,14/03/2021,1st dose,80+,16538,17418,0.949477552
Camden,E09000007,51.54306,-0.16289,08/12/2020,14/03/2021,1st dose,80+,5811,8858,0.65601716
Croydon,E09000008,51.36598,-0.07761,08/12/2020,14/03/2021,1st dose,80+,12818,14802,0.865964059
Ealing,E09000009,51.52443,-0.31407,08/12/2020,14/03/2021,1st dose,80+,10522,12405,0.848206368
Enfield,E09000010,51.64888,-0.08147,08/12/2020,14/03/2021,1st dose,80+,11470,12809,0.895464127
Greenwich,E09000011,51.46393,0.050107,08/12/2020,14/03/2021,1st dose,80+,6642,7939,0.836629298
Hackney,E09000012,51.55492,-0.06045,08/12/2020,14/03/2021,1st dose,80+,4188,5950,0.703865546
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,14/03/2021,1st dose,80+,4202,5274,0.796738718
Haringey,E09000014,51.58771,-0.10667,08/12/2020,14/03/2021,1st dose,80+,5840,7158,0.815870355
Harrow,E09000015,51.59467,-0.33603,08/12/2020,14/03/2021,1st dose,80+,10647,11813,0.901295183
Havering,E09000016,51.56519,0.235368,08/12/2020,14/03/2021,1st dose,80+,12717,14470,0.878852799
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,14/03/2021,1st dose,80+,11069,12140,0.911779242
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,14/03/2021,1st dose,80+,7693,8596,0.89495114
Islington,E09000019,51.54548,-0.10992,08/12/2020,14/03/2021,1st dose,80+,4322,5491,0.787106174
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,14/03/2021,1st dose,80+,4659,6494,0.717431475
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,14/03/2021,1st dose,80+,6141,6990,0.878540773
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,14/03/2021,1st dose,80+,5818,7466,0.779266006
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,14/03/2021,1st dose,80+,6514,8037,0.810501431
Merton,E09000024,51.41057,-0.18867,08/12/2020,14/03/2021,1st dose,80+,6794,7421,0.915510039
Newham,E09000025,51.53147,0.027289,08/12/2020,14/03/2021,1st dose,80+,4894,6780,0.721828909
Redbridge,E09000026,51.58589,0.070071,08/12/2020,14/03/2021,1st dose,80+,9583,11007,0.870627782
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,14/03/2021,1st dose,80+,7814,8440,0.925829384
Southwark,E09000028,51.46592,-0.07306,08/12/2020,14/03/2021,1st dose,80+,5417,6976,0.776519495
Sutton,E09000029,51.35756,-0.17227,08/12/2020,14/03/2021,1st dose,80+,8449,9136,0.924802977
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,14/03/2021,1st dose,80+,3875,5249,0.738235854
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,14/03/2021,1st dose,80+,6400,8376,0.76408787
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,14/03/2021,1st dose,80+,7360,8501,0.865780496
Westminster,E09000033,51.5122,-0.15295,08/12/2020,14/03/2021,1st dose,80+,5516,9004,0.612616615
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,14/03/2021,1st dose,Under 55,23593,116650,0.202254608
Barnet,E09000003,51.61108,-0.21821,08/12/2020,14/03/2021,1st dose,Under 55,50070,212906,0.235174208
Bexley,E09000004,51.45823,0.146227,08/12/2020,14/03/2021,1st dose,Under 55,24702,127017,0.194477905
Brent,E09000005,51.56441,-0.27568,08/12/2020,14/03/2021,1st dose,Under 55,39190,182718,0.214483521
Bromley,E09000006,51.37267,0.039246,08/12/2020,14/03/2021,1st dose,Under 55,35335,167576,0.21085955
Camden,E09000007,51.54306,-0.16289,08/12/2020,14/03/2021,1st dose,Under 55,25345,166616,0.152116243
Croydon,E09000008,51.36598,-0.07761,08/12/2020,14/03/2021,1st dose,Under 55,38975,202432,0.192533789
Ealing,E09000009,51.52443,-0.31407,08/12/2020,14/03/2021,1st dose,Under 55,37014,186354,0.198621978
Enfield,E09000010,51.64888,-0.08147,08/12/2020,14/03/2021,1st dose,Under 55,41869,177292,0.236158428
Greenwich,E09000011,51.46393,0.050107,08/12/2020,14/03/2021,1st dose,Under 55,32650,167422,0.195016187
Hackney,E09000012,51.55492,-0.06045,08/12/2020,14/03/2021,1st dose,Under 55,26449,184854,0.143080485
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,14/03/2021,1st dose,Under 55,17971,113655,0.158118869
Haringey,E09000014,51.58771,-0.10667,08/12/2020,14/03/2021,1st dose,Under 55,26265,160647,0.163495117
Harrow,E09000015,51.59467,-0.33603,08/12/2020,14/03/2021,1st dose,Under 55,37109,128738,0.288252109
Havering,E09000016,51.56519,0.235368,08/12/2020,14/03/2021,1st dose,Under 55,26190,129756,0.201840377
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,14/03/2021,1st dose,Under 55,37991,166214,0.228566787
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,14/03/2021,1st dose,Under 55,32879,150966,0.217790761
Islington,E09000019,51.54548,-0.10992,08/12/2020,14/03/2021,1st dose,Under 55,21547,162921,0.132254283
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,14/03/2021,1st dose,Under 55,12068,86798,0.139035462
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,14/03/2021,1st dose,Under 55,18928,98774,0.191629376
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,14/03/2021,1st dose,Under 55,37730,213227,0.176947572
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,14/03/2021,1st dose,Under 55,31494,184504,0.170695486
Merton,E09000024,51.41057,-0.18867,08/12/2020,14/03/2021,1st dose,Under 55,25348,115378,0.219695263
Newham,E09000025,51.53147,0.027289,08/12/2020,14/03/2021,1st dose,Under 55,37455,219063,0.170978212
Redbridge,E09000026,51.58589,0.070071,08/12/2020,14/03/2021,1st dose,Under 55,35024,167098,0.209601551
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,14/03/2021,1st dose,Under 55,17397,101991,0.170573874
Southwark,E09000028,51.46592,-0.07306,08/12/2020,14/03/2021,1st dose,Under 55,32668,201907,0.161797263
Sutton,E09000029,51.35756,-0.17227,08/12/2020,14/03/2021,1st dose,Under 55,24430,107881,0.226453222
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,14/03/2021,1st dose,Under 55,30526,217181,0.140555573
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,14/03/2021,1st dose,Under 55,26668,160172,0.166496017
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,14/03/2021,1st dose,Under 55,37522,212235,0.176794591
Westminster,E09000033,51.5122,-0.15295,08/12/2020,14/03/2021,1st dose,Under 55,19823,159408,0.124353859
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/03/2021,1st dose,50-54,7551,12493,0.604418474
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/03/2021,1st dose,50-54,16825,25906,0.649463445
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/03/2021,1st dose,50-54,9870,17554,0.562265011
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/03/2021,1st dose,50-54,13533,20601,0.656909859
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/03/2021,1st dose,50-54,14823,24638,0.601631626
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/03/2021,1st dose,50-54,8760,15685,0.558495378
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/03/2021,1st dose,50-54,15084,27372,0.55107409
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/03/2021,1st dose,50-54,13551,22964,0.590097544
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/03/2021,1st dose,50-54,15932,23032,0.691733241
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/03/2021,1st dose,50-54,10959,17879,0.612953745
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/03/2021,1st dose,50-54,8784,15801,0.555914183
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/03/2021,1st dose,50-54,6993,11813,0.591974943
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/03/2021,1st dose,50-54,11385,18035,0.631272526
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/03/2021,1st dose,50-54,11235,15752,0.713242763
Havering,E09000016,51.56519,0.235368,08/12/2020,21/03/2021,1st dose,50-54,10200,17477,0.583624192
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/03/2021,1st dose,50-54,14324,19384,0.738959967
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/03/2021,1st dose,50-54,11512,17241,0.66771069
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/03/2021,1st dose,50-54,6809,13271,0.513073619
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/03/2021,1st dose,50-54,5957,10961,0.543472311
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/03/2021,1st dose,50-54,8129,11645,0.69806784
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/03/2021,1st dose,50-54,12819,19322,0.663440638
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/03/2021,1st dose,50-54,11973,19642,0.609561144
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/03/2021,1st dose,50-54,10098,13796,0.73195129
Newham,E09000025,51.53147,0.027289,08/12/2020,21/03/2021,1st dose,50-54,9914,19171,0.517135256
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/03/2021,1st dose,50-54,9939,18783,0.529148698
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/03/2021,1st dose,50-54,9063,14847,0.610426349
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/03/2021,1st dose,50-54,11848,19727,0.600598165
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/03/2021,1st dose,50-54,7721,14977,0.515523803
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/03/2021,1st dose,50-54,7654,14858,0.515143357
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/03/2021,1st dose,50-54,9279,17548,0.528778208
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/03/2021,1st dose,50-54,12866,18164,0.708324158
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/03/2021,1st dose,50-54,8167,16678,0.489687013
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/03/2021,1st dose,55-59,8086,10535,0.767536782
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/03/2021,1st dose,55-59,18159,22509,0.806743969
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/03/2021,1st dose,55-59,13018,16171,0.805021334
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/03/2021,1st dose,55-59,14300,19243,0.743127371
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/03/2021,1st dose,55-59,16774,21769,0.770545271
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/03/2021,1st dose,55-59,8829,13034,0.677382231
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/03/2021,1st dose,55-59,17996,25680,0.700778816
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/03/2021,1st dose,55-59,16194,19705,0.821821873
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/03/2021,1st dose,55-59,16648,20350,0.818083538
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/03/2021,1st dose,55-59,11300,15300,0.738562092
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/03/2021,1st dose,55-59,9092,12981,0.700408289
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/03/2021,1st dose,55-59,7448,9923,0.750579462
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/03/2021,1st dose,55-59,11305,14900,0.758724832
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/03/2021,1st dose,55-59,12401,15458,0.802238323
Havering,E09000016,51.56519,0.235368,08/12/2020,21/03/2021,1st dose,55-59,13091,16577,0.789708632
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/03/2021,1st dose,55-59,15401,17763,0.867026966
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/03/2021,1st dose,55-59,12292,15062,0.81609348
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/03/2021,1st dose,55-59,8317,11189,0.743319331
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/03/2021,1st dose,55-59,6922,9904,0.698909532
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/03/2021,1st dose,55-59,7908,9929,0.796454829
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/03/2021,1st dose,55-59,13004,17000,0.764941176
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/03/2021,1st dose,55-59,12239,17200,0.711569767
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/03/2021,1st dose,55-59,9686,11960,0.809866221
Newham,E09000025,51.53147,0.027289,08/12/2020,21/03/2021,1st dose,55-59,10875,16142,0.673708338
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/03/2021,1st dose,55-59,12133,16860,0.719632266
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/03/2021,1st dose,55-59,10169,12899,0.788355686
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/03/2021,1st dose,55-59,12766,17494,0.729735909
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/03/2021,1st dose,55-59,10872,12825,0.847719298
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/03/2021,1st dose,55-59,7814,11780,0.663327674
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/03/2021,1st dose,55-59,10275,14542,0.706574061
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/03/2021,1st dose,55-59,12494,14896,0.838748657
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/03/2021,1st dose,55-59,8915,13888,0.641921083
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/03/2021,1st dose,60-64,6857,7960,0.861432161
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/03/2021,1st dose,60-64,16426,18592,0.883498279
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/03/2021,1st dose,60-64,12120,12812,0.945988136
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/03/2021,1st dose,60-64,12909,16425,0.785936073
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/03/2021,1st dose,60-64,16502,17053,0.96768897
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/03/2021,1st dose,60-64,7756,10783,0.719280349
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/03/2021,1st dose,60-64,16288,19729,0.8255867
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/03/2021,1st dose,60-64,14461,16404,0.88155328
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/03/2021,1st dose,60-64,14285,15451,0.924535629
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/03/2021,1st dose,60-64,10188,11717,0.869505846
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/03/2021,1st dose,60-64,7852,10083,0.778736487
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/03/2021,1st dose,60-64,5803,7321,0.792651277
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/03/2021,1st dose,60-64,9302,11088,0.838924964
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/03/2021,1st dose,60-64,12047,13566,0.888028896
Havering,E09000016,51.56519,0.235368,08/12/2020,21/03/2021,1st dose,60-64,13037,13847,0.941503575
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/03/2021,1st dose,60-64,13304,14272,0.932174888
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/03/2021,1st dose,60-64,11399,12531,0.909664033
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/03/2021,1st dose,60-64,7053,8421,0.837548985
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/03/2021,1st dose,60-64,5719,8102,0.705875093
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/03/2021,1st dose,60-64,7399,8136,0.909414946
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/03/2021,1st dose,60-64,10429,12007,0.868576664
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/03/2021,1st dose,60-64,10355,12418,0.833870188
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/03/2021,1st dose,60-64,8762,9285,0.94367259
Newham,E09000025,51.53147,0.027289,08/12/2020,21/03/2021,1st dose,60-64,9717,12562,0.773523324
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/03/2021,1st dose,60-64,11861,13914,0.852450769
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/03/2021,1st dose,60-64,9231,10117,0.912424632
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/03/2021,1st dose,60-64,10346,12755,0.811132889
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/03/2021,1st dose,60-64,9318,10118,0.920932991
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/03/2021,1st dose,60-64,6889,9368,0.735375747
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/03/2021,1st dose,60-64,9342,11507,0.811853654
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/03/2021,1st dose,60-64,10247,11417,0.89752124
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/03/2021,1st dose,60-64,7422,11313,0.656059401
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/03/2021,1st dose,65-69,5140,5920,0.868243243
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/03/2021,1st dose,65-69,13780,15698,0.87781883
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/03/2021,1st dose,65-69,9970,10353,0.963005892
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/03/2021,1st dose,65-69,10433,12597,0.828213067
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/03/2021,1st dose,65-69,13595,14671,0.926658033
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/03/2021,1st dose,65-69,6318,9112,0.693371378
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/03/2021,1st dose,65-69,13331,15576,0.855868002
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/03/2021,1st dose,65-69,11953,13679,0.873821186
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/03/2021,1st dose,65-69,11273,12344,0.9132372
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/03/2021,1st dose,65-69,8184,8990,0.910344828
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/03/2021,1st dose,65-69,6242,7527,0.829281254
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/03/2021,1st dose,65-69,4776,5999,0.796132689
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/03/2021,1st dose,65-69,7426,8823,0.841663833
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/03/2021,1st dose,65-69,10513,11252,0.934322787
Havering,E09000016,51.56519,0.235368,08/12/2020,21/03/2021,1st dose,65-69,10887,11826,0.920598681
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/03/2021,1st dose,65-69,10825,11284,0.959322935
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/03/2021,1st dose,65-69,9443,10368,0.910783179
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/03/2021,1st dose,65-69,5588,6477,0.862745098
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/03/2021,1st dose,65-69,4770,7035,0.67803838
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/03/2021,1st dose,65-69,6306,6902,0.913648218
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/03/2021,1st dose,65-69,7519,8575,0.876851312
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/03/2021,1st dose,65-69,7525,8735,0.861476817
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/03/2021,1st dose,65-69,7140,7672,0.930656934
Newham,E09000025,51.53147,0.027289,08/12/2020,21/03/2021,1st dose,65-69,7587,9208,0.823957428
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/03/2021,1st dose,65-69,10072,11505,0.875445458
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/03/2021,1st dose,65-69,7846,8790,0.892605233
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/03/2021,1st dose,65-69,7210,8555,0.842781999
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/03/2021,1st dose,65-69,7948,8431,0.942711422
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/03/2021,1st dose,65-69,5173,7146,0.723901483
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/03/2021,1st dose,65-69,7401,8887,0.832789468
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/03/2021,1st dose,65-69,7990,9258,0.863037373
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/03/2021,1st dose,65-69,5890,9731,0.605282088
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/03/2021,1st dose,70-74,4239,4836,0.876550868
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/03/2021,1st dose,70-74,13150,14410,0.912560722
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/03/2021,1st dose,70-74,10034,10250,0.978926829
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/03/2021,1st dose,70-74,8395,9845,0.852717115
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/03/2021,1st dose,70-74,14746,15383,0.958590652
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/03/2021,1st dose,70-74,5995,8603,0.696849936
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/03/2021,1st dose,70-74,12502,13362,0.935638377
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/03/2021,1st dose,70-74,10356,10855,0.954030401
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/03/2021,1st dose,70-74,10082,10921,0.923175533
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/03/2021,1st dose,70-74,7361,8074,0.91169185
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/03/2021,1st dose,70-74,4980,5876,0.847515317
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/03/2021,1st dose,70-74,4430,5365,0.825722274
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/03/2021,1st dose,70-74,6295,7154,0.879927313
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/03/2021,1st dose,70-74,9173,9792,0.936785131
Havering,E09000016,51.56519,0.235368,08/12/2020,21/03/2021,1st dose,70-74,11535,11960,0.964464883
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/03/2021,1st dose,70-74,9834,10449,0.941142693
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/03/2021,1st dose,70-74,8206,8538,0.961115015
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/03/2021,1st dose,70-74,4923,5651,0.871173244
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/03/2021,1st dose,70-74,4607,6734,0.684140184
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/03/2021,1st dose,70-74,6276,6460,0.971517028
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/03/2021,1st dose,70-74,6029,6650,0.906616541
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/03/2021,1st dose,70-74,6178,7101,0.870018307
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/03/2021,1st dose,70-74,6447,6684,0.96454219
Newham,E09000025,51.53147,0.027289,08/12/2020,21/03/2021,1st dose,70-74,5519,6507,0.848163516
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/03/2021,1st dose,70-74,8897,9526,0.933970187
